aX,aY,aZ,gX,gY,gZ
-0.79,-0.06,1.58,-186.28,-77.33,238.16
-1.03,-0.53,2.24,-229.31,-25.45,167.18
-0.33,-1.46,2.21,-262.21,79.59,148.32
-0.85,-0.57,2.02,-172.12,64.82,323.91
-0.65,-0.04,1.74,-165.89,31.62,412.29
-0.71,0.14,1.98,-265.44,-1.34,428.71
-0.97,0.31,2.0,-285.71,-12.82,429.81
-0.96,0.27,1.54,-280.09,34.12,406.86
-0.97,0.19,1.0,-264.34,74.52,384.52
-0.95,0.17,0.6,-245.24,84.59,369.38
-0.88,0.11,0.54,-226.56,79.96,350.89
-0.78,0.08,0.64,-207.52,69.52,332.21
-0.65,0.04,0.93,-174.62,61.95,326.78
-0.62,-0.03,1.56,-111.57,33.94,335.57
-0.66,-0.23,1.93,-85.94,33.63,341.98
-0.81,-0.32,1.82,-122.62,80.69,356.81
-0.93,-0.16,1.4,-170.84,136.17,380.68
-1.1,0.11,1.08,-196.96,164.18,398.38
-1.23,0.41,0.96,-192.44,166.93,402.1
-1.25,0.78,0.98,-176.7,162.41,396.73
-1.18,1.06,1.22,-158.2,156.49,380.92
-1.14,1.09,1.47,-152.95,152.16,350.52
-1.08,0.82,1.52,-173.83,161.19,307.62
-1.1,0.51,1.49,-189.58,169.07,283.81
-1.18,0.16,1.47,-200.07,169.62,284.48
-1.35,0.14,1.34,-219.06,182.56,300.84
-1.45,0.46,1.12,-212.46,198.55,328.8
-1.51,0.87,0.92,-190.37,206.18,343.51
-1.54,1.33,0.76,-167.72,204.28,341.13
-1.5,1.74,0.72,-150.02,195.19,334.29
-1.49,2.02,0.82,-148.32,188.11,323.55
-1.45,2.19,0.63,-162.9,190.19,295.23
-1.38,2.45,0.56,-177.61,150.09,218.87
-1.29,1.88,0.85,-165.77,85.02,96.86
-1.23,1.36,1.41,-159.79,22.83,23.13
-1.17,0.81,1.65,-163.02,50.05,-3.78
-1.16,0.98,1.37,-149.23,119.02,20.57
-1.17,1.22,1.11,-126.34,151.18,34.0
-1.14,1.47,0.96,-110.05,163.21,23.99
-1.09,1.78,0.87,-82.21,167.11,8.06
-1.08,1.9,0.85,-70.01,168.95,-16.42
-1.04,1.79,0.69,-75.44,168.82,-51.88
-1.07,1.57,0.57,-82.03,152.16,-88.99
-1.09,1.41,0.52,-86.43,129.03,-116.58
-1.08,1.26,0.46,-90.7,109.37,-137.82
-1.06,1.08,0.48,-95.64,86.49,-155.21
-0.99,0.95,0.58,-98.45,76.17,-163.7
-0.89,0.99,0.65,-95.15,79.9,-162.84
-0.87,1.1,0.71,-87.4,83.25,-164.25
-0.87,1.19,0.77,-71.29,89.11,-171.81
-0.88,1.18,0.68,-55.6,102.54,-187.44
-0.89,1.12,0.53,-47.3,115.05,-205.57
-0.9,0.97,0.4,-43.21,117.37,-222.72
-0.9,0.84,0.33,-46.08,112.55,-236.57
-0.91,0.78,0.31,-46.94,104.31,-245.12
-0.89,0.78,0.3,-43.21,97.66,-250.73
-0.87,0.76,0.27,-44.86,92.9,-257.93
-0.83,0.69,0.3,-48.95,85.63,-267.76
-0.78,0.59,0.26,-53.1,82.7,-277.71
-0.74,0.54,0.17,-53.1,84.11,-284.0
-0.7,0.51,0.13,-49.19,80.08,-288.94
-0.64,0.39,0.14,-50.72,72.33,-297.55
-0.57,0.22,0.2,-54.93,63.9,-306.4
-0.47,0.02,0.29,-58.23,57.8,-311.34
-0.39,-0.15,0.37,-57.98,55.73,-309.02
-0.33,-0.26,0.35,-51.21,61.83,-298.34
-0.27,-0.24,0.27,-43.21,71.66,-280.7
-0.22,-0.18,0.16,-40.1,77.33,-262.39
-0.17,-0.09,0.06,-42.6,75.74,-248.05
-0.17,-0.03,-0.06,-48.95,69.34,-239.32
-0.16,-0.0,-0.09,-57.07,55.36,-238.59
-0.14,-0.0,-0.06,-62.99,37.72,-243.77
-0.07,-0.1,0.01,-65.43,23.99,-252.32
0.03,-0.31,0.16,-67.81,11.96,-259.34
0.11,-0.47,0.35,-73.43,3.91,-258.79
0.17,-0.59,0.4,-76.84,8.91,-251.46
0.2,-0.66,0.26,-78.98,23.62,-239.32
0.18,-0.67,0.1,-82.64,31.37,-220.83
0.13,-0.61,-0.04,-89.84,28.81,-199.52
0.12,-0.38,-0.17,-85.45,18.92,-180.11
0.08,-0.23,-0.11,-87.95,-3.17,-176.88
0.04,-0.18,0.08,-95.52,-29.05,-189.51
0.04,-0.18,0.21,-101.07,-42.11,-205.81
-0.07,-0.27,0.34,-108.64,-47.36,-225.4
-0.09,-0.37,0.36,-116.64,-47.79,-243.41
-0.02,-0.52,0.35,-116.76,-44.25,-257.81
0.03,-0.74,0.35,-128.05,-44.62,-268.86
0.07,-0.94,0.27,-135.99,-40.34,-273.19
0.07,-1.03,0.07,-133.3,-33.45,-273.68
0.01,-1.05,-0.09,-127.26,-34.55,-258.79
-0.1,-0.96,-0.12,-116.94,-48.89,-224.24
-0.18,-0.65,-0.12,-98.75,-66.1,-178.04
-0.2,-0.39,-0.04,-99.3,-87.52,-156.07
-0.25,-0.36,0.07,-115.91,-112.12,-161.99
-0.34,-0.2,0.39,-128.05,-137.15,-172.97
-0.44,-0.17,0.48,-120.18,-130.13,-205.93
-0.37,-0.41,0.36,-126.53,-110.66,-248.72
-0.25,-0.74,0.47,-143.31,-119.08,-276.25
-0.17,-0.98,0.57,-157.84,-126.77,-286.56
-0.22,-1.1,0.44,-170.04,-113.28,-286.62
-0.29,-1.16,0.23,-188.23,-97.84,-285.71
-0.36,-1.21,0.25,-206.73,-111.15,-286.13
-0.39,-1.43,0.56,-227.66,-143.25,-260.74
-0.33,-1.26,0.87,-235.41,-165.95,-212.34
-0.28,-1.27,1.07,-241.15,-172.85,-189.45
-0.15,-1.23,1.22,-247.07,-168.27,-169.25
-0.2,-1.33,1.19,-177.61,-164.43,-147.03
0.47,-1.16,1.19,-140.87,-171.51,-109.37
-0.51,-1.39,1.15,-181.82,-161.13,-92.71
-0.75,-1.35,1.35,-104.61,-168.95,-62.5
-0.21,-1.54,1.25,-78.8,-128.78,-45.23
0.35,-1.54,0.82,-39.0,-96.92,-4.94
-0.11,-1.3,1.04,-44.01,-141.48,54.14
-0.36,-1.03,1.33,-53.83,-176.76,96.19
-0.33,-0.78,1.57,-46.14,-175.05,121.28
-0.33,-0.63,1.79,-49.93,-161.8,130.68
-0.38,-0.65,1.81,-55.3,-131.96,127.99
-0.46,-0.71,1.6,-76.66,-87.89,127.75
-0.48,-0.69,1.11,-91.49,-56.03,136.96
-0.22,-0.53,0.81,-111.82,-56.03,152.16
-0.26,-0.49,0.85,-122.31,-85.33,147.77
-0.33,-0.68,1.1,-108.7,-101.81,127.2
-0.3,-0.94,0.79,-76.42,-69.15,125.55
-0.22,-0.94,0.65,-66.04,-67.87,160.16
-0.29,-0.9,0.73,-66.96,-103.09,192.5
-0.35,-0.9,0.82,-108.52,-115.05,203.74
-0.4,-0.86,1.11,-171.33,-120.36,219.73
-0.56,-0.76,1.38,-175.54,-130.43,248.96
-0.54,-0.51,1.45,-165.95,-125.06,288.33
-0.6,-0.2,1.45,-173.52,-113.65,323.49
-0.67,0.04,1.37,-193.42,-97.17,336.79
-0.43,-0.05,1.03,-220.15,-74.16,336.98
-0.9,0.2,0.94,-231.32,-92.35,358.15
-0.73,0.31,1.11,-270.26,-98.21,358.15
-0.13,0.24,0.98,-343.08,-46.2,330.93
-0.15,-0.02,1.15,-396.18,-30.82,273.38
-0.31,-0.39,1.55,-445.01,-24.72,211.49
-0.25,-0.63,1.63,-446.96,29.17,161.01
-0.31,-1.15,1.83,-462.83,77.03,186.58
-0.63,-0.89,2.02,-456.05,110.84,305.11
-0.92,-0.22,2.15,-420.84,164.43,394.78
-1.7,0.37,2.11,-379.46,248.29,459.41
-1.87,0.89,1.5,-269.1,380.25,521.61
-1.85,1.22,0.51,-149.66,438.66,585.02
-1.97,1.76,1.16,-137.82,313.11,631.23
-1.71,2.24,1.61,-165.65,257.45,555.54
-1.69,1.53,1.9,-207.28,287.17,398.25
-1.68,1.05,2.07,-204.71,334.47,329.04
-1.65,0.78,1.89,-167.85,395.14,323.49
-1.85,0.6,1.61,-138.43,438.72,335.57
-2.13,0.52,1.25,-110.9,459.23,358.7
-2.34,0.52,0.78,-117.0,465.21,389.77
-2.47,0.64,0.22,-146.12,458.8,415.71
-2.46,0.92,-0.3,-153.81,432.01,439.45
-2.31,1.4,-0.44,-146.42,378.54,459.29
-2.14,1.85,-0.31,-143.62,294.98,448.43
-1.95,2.13,-0.01,-137.82,183.04,412.66
-1.88,2.38,0.66,-145.45,116.46,358.7
-1.82,2.61,0.74,-148.62,129.94,291.02
-1.81,2.82,0.78,-125.31,133.48,225.34
-1.81,2.79,0.78,-103.64,133.85,139.04
-1.78,2.55,0.73,-94.24,133.54,49.74
-1.75,2.16,0.62,-98.39,132.69,-24.66
-1.69,1.79,0.54,-103.52,125.67,-78.8
-1.65,1.55,0.56,-110.29,110.17,-113.04
-1.6,1.39,0.61,-117.61,95.64,-137.88
-1.52,1.31,0.62,-116.7,89.6,-153.75
-1.42,1.28,0.65,-115.11,86.67,-166.02
-1.32,1.24,0.67,-111.39,85.33,-181.21
-1.25,1.23,0.67,-99.67,89.23,-195.19
-1.18,1.24,0.61,-86.43,97.47,-207.03
-1.12,1.2,0.46,-74.04,105.71,-220.64
-1.08,1.12,0.3,-63.29,106.99,-234.37
-1.02,1.01,0.2,-57.56,98.02,-246.15
-0.97,0.9,0.18,-55.85,80.57,-253.66
-0.91,0.81,0.2,-59.08,60.85,-256.65
-0.84,0.79,0.27,-60.55,42.42,-254.46
-0.76,0.9,0.36,-56.09,29.79,-249.45
-0.67,1.05,0.4,-48.34,24.84,-249.02
-0.61,1.07,0.41,-47.3,22.89,-258.91
-0.53,0.99,0.45,-54.14,19.41,-273.13
-0.5,0.91,0.49,-60.24,15.63,-286.5
-0.47,0.82,0.53,-57.62,16.11,-298.95
-0.42,0.66,0.64,-54.93,16.97,-315.12
-0.4,0.47,0.73,-44.92,24.72,-333.13
-0.38,0.27,0.64,-27.34,46.81,-347.96
-0.39,0.03,0.43,-13.49,69.34,-350.95
-0.38,-0.06,0.2,-12.51,77.09,-340.39
-0.33,-0.11,0.13,-13.79,65.98,-327.21
-0.27,-0.08,0.23,-20.94,45.78,-307.92
-0.22,-0.03,0.26,-34.18,38.15,-286.68
-0.22,0.06,0.25,-50.11,35.95,-269.47
-0.15,0.16,0.19,-56.21,34.91,-258.48
-0.2,0.21,0.25,-54.26,32.84,-255.43
-0.24,0.22,0.23,-54.81,33.75,-257.75
-0.33,0.2,0.1,-53.59,43.15,-263.79
-0.37,0.14,0.01,-51.27,44.56,-271.61
-0.43,0.07,-0.01,-47.24,40.47,-279.42
-0.45,0.07,-0.07,-35.34,39.55,-285.22
-0.49,0.07,-0.17,-24.23,40.65,-290.89
-0.5,0.03,-0.27,-28.63,35.28,-297.97
-0.51,-0.03,-0.3,-45.41,19.71,-304.08
-0.53,-0.1,-0.26,-63.72,-1.53,-306.4
-0.55,-0.14,-0.25,-78.37,-19.29,-305.42
-0.55,-0.18,-0.31,-94.24,-33.14,-304.26
-0.56,-0.2,-0.29,-110.05,-49.13,-305.05
-0.58,-0.23,-0.26,-110.66,-66.28,-308.23
-0.59,-0.3,-0.26,-106.2,-78.49,-314.15
-0.55,-0.41,-0.26,-97.6,-87.65,-321.78
-0.53,-0.55,-0.15,-90.7,-101.26,-327.51
-0.51,-0.69,0.02,-90.82,-114.75,-327.64
-0.47,-0.82,0.12,-96.8,-119.51,-324.58
-0.42,-0.93,0.15,-112.06,-118.77,-317.44
-0.43,-0.98,0.13,-127.56,-116.94,-304.57
-0.44,-1.0,0.05,-137.08,-114.01,-284.12
-0.46,-0.9,0.0,-143.19,-117.31,-252.99
-0.48,-0.78,0.05,-147.09,-129.09,-231.38
-0.49,-0.73,0.13,-151.12,-140.81,-223.69
-0.53,-0.71,0.14,-153.38,-148.13,-219.73
-0.59,-0.68,0.05,-157.9,-151.49,-217.59
-0.68,-0.65,0.07,-160.16,-161.87,-217.22
-0.75,-0.68,0.27,-156.13,-182.01,-220.21
-0.7,-0.78,0.61,-147.95,-204.28,-227.78
-0.61,-0.98,1.0,-142.09,-219.42,-239.75
-0.55,-1.17,1.3,-150.33,-217.53,-252.2
-0.51,-1.32,1.48,-155.64,-204.59,-269.35
-0.46,-1.86,1.52,-175.84,-178.77,-283.26
-0.48,-1.97,1.47,-214.11,-149.41,-203.55
-0.45,-1.55,1.33,-228.21,-134.58,-109.37
-0.52,-1.33,1.28,-240.48,-129.7,-58.41
-0.58,-0.94,1.24,-241.33,-128.05,-18.25
-0.61,-0.56,1.23,-235.53,-127.2,10.5
-0.68,-0.37,1.29,-220.28,-132.63,17.09
-0.76,-0.26,1.35,-204.04,-138.31,15.56
-0.76,-0.2,1.41,-192.63,-141.66,10.44
-0.81,-0.23,1.54,-189.58,-148.01,2.5
-0.8,-0.31,1.69,-186.65,-150.82,-3.72
-0.71,-0.37,1.81,-185.97,-146.79,-4.76
-0.67,-0.39,1.89,-176.88,-134.46,1.22
-0.52,-0.39,1.97,-172.36,-120.67,12.39
-0.53,-0.36,1.95,-174.38,-98.75,24.6
-0.52,-0.36,1.9,-157.35,-73.85,38.57
-0.43,-0.12,1.82,-123.35,-45.78,67.2
-0.34,-0.0,1.69,-109.37,-16.78,77.45
-0.4,-0.08,1.67,-105.16,-2.69,69.76
-0.43,-0.19,1.66,-70.01,3.54,70.56
-0.48,-0.25,1.69,-29.3,8.0,80.26
-0.49,-0.28,1.74,-12.7,10.56,90.52
-0.43,-0.35,1.66,-7.57,18.37,97.72
-0.32,-0.54,1.5,-16.85,26.67,103.76
-0.21,-0.73,1.51,-44.19,23.99,117.55
-0.17,-0.77,1.64,-63.9,15.14,146.06
-0.15,-0.71,1.66,-65.73,21.42,178.83
-0.15,-0.62,1.5,-65.06,39.86,204.22
-0.19,-0.59,1.26,-72.69,57.43,218.81
0.46,-0.67,0.95,-83.19,66.04,226.5
-0.39,-0.85,0.83,-151.06,31.49,246.34
-0.38,-0.52,1.39,-240.78,-58.47,278.44
0.22,-0.4,1.1,-318.24,0.0,268.62
0.03,-0.58,0.97,-409.85,17.4,243.35
-0.06,-0.89,1.24,-524.66,4.52,216.67
-0.2,-1.08,1.57,-637.33,42.48,202.09
-0.49,-0.91,1.69,-718.93,115.36,222.84
-0.89,-0.4,1.71,-748.05,217.16,247.38
-0.48,-0.01,1.26,-731.38,359.31,256.84
-0.79,0.47,0.87,-666.38,446.66,290.77
-1.05,0.98,0.84,-544.92,455.75,365.66
-1.26,1.45,0.76,-415.71,479.25,442.75
-1.51,2.39,0.62,-306.46,513.92,468.93
-1.39,2.35,0.24,-202.39,538.39,342.22
-1.43,2.02,0.12,-62.5,536.68,226.93
-1.36,1.97,0.04,99.12,526.86,207.28
-1.19,1.84,0.13,221.01,495.79,205.81
-1.05,1.57,0.52,264.4,435.79,218.44
-1.17,1.09,0.86,195.62,394.41,234.56
-1.31,0.78,0.95,66.35,393.62,257.75
-1.47,0.48,0.83,-36.38,410.77,268.98
-1.66,0.35,0.61,-51.39,421.69,299.32
-1.74,0.53,0.36,-40.47,415.04,343.44
-1.78,0.92,0.18,-11.41,382.26,377.81
-1.76,1.39,0.3,29.72,327.64,392.4
-1.78,1.78,0.65,45.96,274.6,382.51
-1.79,2.05,0.92,31.86,248.41,349.43
-1.84,2.2,0.85,-2.56,253.42,301.94
-1.87,2.24,0.56,-42.66,265.69,247.68
-1.84,2.23,0.37,-78.19,251.16,189.39
-1.75,2.14,0.33,-110.41,215.33,125.98
-1.61,1.95,0.27,-129.09,184.39,66.22
-1.46,1.87,0.32,-141.11,155.4,20.81
-1.33,1.76,0.45,-148.13,128.97,-17.27
-1.23,1.56,0.59,-147.09,111.45,-53.77
-1.16,1.38,0.69,-144.04,105.16,-82.4
